,Date,User,Tweet
97,2022-05-26 10:27:01+00:00,ZARA,"MEET ME AT THE STANDARD
Fai Khadra featured in a capsule created between Zara Man and The Standard hotel. Playful and bright summer pieces to be worn under the sun https://t.co/zj5c8jLZ08 https://t.co/dmjbYc62VP"
98,2022-05-18 18:00:30+00:00,ZARA,All in pink! Beauty collection https://t.co/Sgm5C4iOTV https://t.co/MjrSPeqERD
99,2022-05-18 13:33:06+00:00,ZARA,All in pink! Beauty collection https://t.co/Sgm5C4iOTV https://t.co/7DACdONuUj
100,2022-05-18 09:26:41+00:00,ZARA,All in pink! Beauty collection https://t.co/Sgm5C4iOTV https://t.co/O9IN0xXoHb
101,2022-05-16 17:00:17+00:00,ZARA,"Redesigning human uniform: Rhuigi Villaseñor x Zara present RHU. This bold creative endeavour also empowers the wearer to transcend conventional notions of ‘sportswear’, ‘luxury’ and ‘streetwear’
https://t.co/o8vRwm3bhi https://t.co/odqSWkqBN9"
102,2022-05-16 13:00:52+00:00,ZARA,Zara presents a boundary-breaking new collection in collaboration with designer Rhuigi Villaseñor. RHU - the acronym for Redesigning Human Uniform - ventures beyond traditional codes in menswear to enable total freedom of expression through style https://t.co/o8vRwm3bhi https://t.co/Sfzc2veeem
103,2022-05-13 18:00:12+00:00,ZARA,INFINITED FIBER X ZARA This partnership represents an advancement in recycling by uniting technology and innovation to create a circular fiber https://t.co/bqzlKYrvpX https://t.co/N8aBj5c4Mc
104,2022-05-13 14:00:37+00:00,ZARA,"INFINITED FIBER X ZARA
Infinited Fiber Company is a fashion and textile technology group that has developed an innovative solution to turn cellulose-rich materials, such as worn-out clothes, into a textile fiber that looks and feels like cotton https://t.co/bqzlKYrvpX https://t.co/zRAuLRpuEf"
105,2022-05-13 11:07:01+00:00,ZARA,"INFINITED FIBER X ZARA is the second collaboration of Zara's Sustainability Innovation Hub, through which we work on different projects that help us promote and scale initiatives to make our products more sustainable. #JOINLIFE #INNOVATION https://t.co/bqzlKYrvpX https://t.co/GdXg8NP9R3"
106,2022-05-12 17:00:13+00:00,ZARA,All in pink! Beauty collection https://t.co/Sgm5C4iOTV https://t.co/BZYhvgzCvp
107,2022-05-12 13:00:15+00:00,ZARA,All in pink! Beauty collection https://t.co/Sgm5C4iOTV https://t.co/ywZhU6D5dB
108,2022-05-12 08:32:17+00:00,ZARA,All in pink! Beauty collection https://t.co/Sgm5C4iOTV https://t.co/71AJok7JRq
109,2022-04-21 17:00:57+00:00,ZARA,ZARA SRPLS. Making the functional fashionable: that’s the mission of SRPLS. NOW AVAILABLE https://t.co/QrWhwmnUDG https://t.co/ri7zPVOXwY
110,2022-04-21 14:14:23+00:00,ZARA,"ZARA SRPLS. This season, Zara’s ongoing project advances by creating a wardrobe system - a new kind of uniform - that emphasizes ease, lightness and tonal dressing, and in which all the pieces are effortlessly complementary https://t.co/QrWhwm6jf6 https://t.co/9CqR8RISne"
111,2022-04-21 11:02:36+00:00,ZARA,ZARA SRPLS. Making the functional fashionable: that’s the mission of SRPLS. NOW AVAILABLE https://t.co/QrWhwmnUDG https://t.co/0VFPXtNRH2
112,2022-04-07 17:00:43+00:00,ZARA,"ZARA ORIGINS. Second edition. A minimalist ethos and formal style, including pieces based on key silhouettes which have been updated in new fabrications and colours whilst introducing new styles that expand the offering https://t.co/2D9GWgWClh https://t.co/WdwwLIoQXm"
113,2022-04-07 13:00:37+00:00,ZARA,ZARA ORIGINS. An audiovisual poem inspired by Bob Marley. https://t.co/2D9GWgWClh https://t.co/mq7C2mNdi5
114,2022-04-07 08:00:15+00:00,ZARA,"ZARA ORIGINS. Second edition. Building a contemporary wardrobe through essential, timeless garments. https://t.co/2D9GWgWClh https://t.co/OTGfGs03OD"
115,2022-04-05 16:59:13+00:00,ZARA,51 shades of Skin Love. New beauty collection https://t.co/1bAAZrIiVo https://t.co/oyLkWsTxK3
116,2022-04-05 13:34:07+00:00,ZARA,51 shades of Skin Love. New beauty collection https://t.co/1bAAZrIiVo https://t.co/O3YKAKoFRT
117,2022-04-05 10:43:31+00:00,ZARA,51 shades of Skin Love. New beauty collection https://t.co/1bAAZrIiVo https://t.co/f1uFVVxcbb
118,2022-03-29 17:00:26+00:00,ZARA,A walk in the city https://t.co/u3d9zrVfq6 https://t.co/6NM9NhF7r6
119,2022-03-29 13:00:15+00:00,ZARA,A walk in the city https://t.co/u3d9zrVfq6 https://t.co/KZYA9qerVW
120,2022-03-29 09:54:30+00:00,ZARA,A walk in the city https://t.co/u3d9zrVfq6 https://t.co/j2nJ7OSzXe
121,2022-03-28 17:00:24+00:00,ZARA,51 shades of Skin Love. New beauty collection https://t.co/1bAAZrIiVo https://t.co/8wOvmZnaFX
122,2022-03-28 13:00:15+00:00,ZARA,51 shades of Skin Love. New beauty collection https://t.co/1bAAZrIiVo https://t.co/WpHFwkWgIp
123,2022-03-28 08:38:38+00:00,ZARA,51 shades of Skin Love. New beauty collection https://t.co/1bAAZrIiVo https://t.co/iJNJID50qQ
124,2022-03-21 18:00:44+00:00,ZARA,51 shades of Skin Love. New beauty collection https://t.co/1bAAZrIiVo https://t.co/hDxI5E8ree
125,2022-03-21 15:00:34+00:00,ZARA,51 shades of Skin Love. New beauty collection https://t.co/1bAAZrIiVo https://t.co/OqYIkdzfDV
126,2022-03-21 11:37:01+00:00,ZARA,51 shades of Skin Love. New beauty collection https://t.co/1bAAZrIiVo https://t.co/RHhua6EjCd
127,2022-03-19 18:00:23+00:00,ZARA,"Kids Studio collection SS22 now available
Creative direction: Fabien Baron
Pictures by Gregory Harris
Styling: Karl Templer
Make up: Susie Sobol
Hair: Tomo Jidai
https://t.co/OEjKfnmgC7 https://t.co/0jx32fAX0m"
128,2022-03-19 14:00:40+00:00,ZARA,"Kids Studio collection SS22 now available
Creative direction: Fabien Baron
Film by Fabien Baron
Styling: Karl Templer
Make up: Susie Sobol
Hair: Tomo Jidai
https://t.co/OEjKfnmgC7 https://t.co/UV520cyf5R"
129,2022-03-19 09:00:23+00:00,ZARA,"Kids Studio collection SS22 now available
Creative direction: Fabien Baron
Pictures by Gregory Harris
Styling: Karl Templer
Make up: Susie Sobol
Hair: Tomo Jidai
https://t.co/OEjKfnmgC7 https://t.co/0jdBitpPtl"
130,2022-03-18 18:00:31+00:00,ZARA,"Man Studio collection SS22 now available
Creative direction: Fabien Baron 
Pictures by David Sims 
Styling: Karl Templer 
Make up: Satoko Watanabe 
Hair: Duffy 
Set designer: Jean Michel Bertin 
Thank you Kodi Smit-McPhee 
https://t.co/xPb1aa2HtK https://t.co/T7mG3RE5Rw"
131,2022-03-18 10:31:17+00:00,ZARA,"Man Studio collection SS22 now available
Creative direction: Fabien Baron 
Pictures by David Sims 
Styling: Karl Templer 
Make up: Satoko Watanabe 
Hair: Duffy 
Set designer: Jean Michel Bertin 
Thank you Kodi Smit-McPhee 
https://t.co/xPb1aa2HtK https://t.co/eNaIfGanBV"
132,2022-03-17 19:00:49+00:00,ZARA,"Studio Woman collection now available
Creative direction: Fabien Baron
Photographs by Steven Meisel
Styling Karl Templer
Make up Pat McGrath
Hair Guido Palau
https://t.co/dcPdMjsnAA https://t.co/jJnUT0NwPQ"
133,2022-03-17 16:14:22+00:00,ZARA,"Woman Studio collection now available
Creative direction: Fabien Baron 
Original Artwork: Ignasi Monreal 
Styling: Karl Templer 
Make up: Pat McGrath 
Hair: Guido Palau 
https://t.co/dcPdMjsnAA https://t.co/oSl85WKWM0"
134,2022-03-17 09:30:19+00:00,ZARA,"Studio Woman collection now available
Creative direction: Fabien Baron
Photographs by Steven Meisel
Styling Karl Templer
Make up Pat McGrath
Hair Guido Palau
https://t.co/dcPdMjsnAA https://t.co/p9PmK2r7WY"
135,2022-03-14 20:00:41+00:00,ZARA,Studio collection available March 17th https://t.co/jCetWgklhT
